Bench : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/benchmark : len : 1000 loops : 1000
1 pathToDir : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/benchmark
2 pathToDir : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/benchmark
BeforeCat Dir : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/benchmark 
File : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/benchmark
AfterCat Dir : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/benchmark/zzzTempDir 
File : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/benchmark/zzzTempFile
MKDIR	RMDIR	CREATE	STAT	CLOSE	UNLINK
15469	9847	7212	1373	2548	23723	
15868	10240	7415	1442	2448	22943	
15774	9280	6765	1312	3295	26975	
18722	10684	8334	1500	2908	24458	
17653	10195	8724	1422	2949	26964	
18055	10704	9022	1480	3108	26704	
17816	10863	8612	1454	2520	23898	
16664	10353	7515	1413	2363	22614	
19282	10729	6997	1386	2465	22911	
16020	10034	7255	1374	3122	27827	
17418	11062	12939	1554	3054	24587	
16352	10240	7654	1482	3200	27582	
17871	10850	7448	1551	2852	27536	
18008	11303	7709	1425	3098	26540	
17240	10576	7554	1467	3114	27564	
17378	11018	7796	1519	2739	24554	
16265	10403	7399	1486	2615	23709	
15570	9949	6768	1344	2493	23534	
15838	9872	6889	1382	2840	27244	
18856	11754	8137	1428	3299	27223	
18678	10698	8441	1496	3462	28057	
18220	11045	7677	1545	3137	26685	
17080	10676	7652	1533	2798	24160	
26352	11435	7842	1448	3077	23198	
15562	9993	7170	1403	3404	27697	
18940	11104	9318	1537	3106	24706	
17618	10348	8045	1478	3332	30162	
17980	10675	8240	1544	3211	26700	
16342	10114	7640	1462	2935	28408	
17218	10777	8590	1598	3078	27106	
17245	10620	8289	1475	2992	24414	
21209	10774	7572	1476	2549	739135	
18080	10226	8182	1348	3112	27581	
19744	11391	7698	1477	2654	23858	
18914	11196	7931	1469	2533	23641	
16253	9816	8087	1457	2505	23657	
15320	10196	7263	1440	3413	33040	
18110	11152	8344	1414	3126	28025	
17577	11000	8468	1486	3572	36967	
18158	11169	9511	1529	2732	24680	
19565	11391	8359	1449	3229	30780	
19473	10831	8429	1380	3663	27662	
17917	10856	8151	1533	2886	24651	
16913	10136	7712	1412	3224	27355	
18205	10640	8348	1551	3033	27091	
18258	10597	8622	1506	3078	24925	
17480	10511	7148	1427	2754	25076	
17579	10658	7821	1408	2800	25260	
16776	10494	8766	1414	2626	24984	
17200	9986	7287	1368	2481	24217	
16866	10048	7725	1429	2555	24853	
16840	41824	8627	1435	2898	26764	
18060	10760	13394	1448	2528	23269	
16383	9900	7580	1440	3280	26214	
19434	11368	8104	1458	3300	28448	
23066	11204	8628	1504	2720	24526	
16129	10129	7457	1380	2838	29364	
17743	10667	7645	1456	2396	23814	
15838	10076	7389	1478	2473	27967	
15554	10121	7394	1447	2587	24720	
16402	9889	15293	1487	6335	42632	
24124	11458	10713	2144	2489	21746	
15640	9718	7468	1532	2949	25080	
18129	11208	8173	1464	2504	22543	
15348	10080	7139	1409	3058	25283	
17214	10902	7916	1477	2834	23324	
16348	10235	7651	1478	2811	25107	
17324	10812	8364	1478	2501	22780	
15698	10122	7722	1382	2368	23283	
16009	10244	7638	1416	3111	25468	
16178	10497	7646	1454	3068	25960	
16840	10886	7576	1559	3232	28093	
16375	10859	7306	1442	2854	24985	
16460	10691	7483	1498	2400	22063	
15080	10001	6860	1404	2951	26896	
17647	11247	7397	1471	2542	21385	
14762	9901	6874	1344	2234	20897	
14360	9756	6706	1378	2268	22796	
14673	9760	6823	1376	2224	25198	
15534	10337	7200	1356	2337	21609	
14664	9953	6965	1383	2258	21781	
14743	9875	7209	1368	2307	23108	
16155	10925	8079	1479	2164	21842	
15344	9912	7419	1428	2838	24129	
16648	10654	7356	1449	2379	21914	
15020	9799	7105	1425	2280	21516	
14911	10049	6602	1416	2331	27095	
14569	9784	6857	1407	2581	21558	
21018	11225	7270	1348	2201	21389	
14466	9623	6959	1378	2312	21673	
15202	9744	6839	1375	2204	21680	
17768	14303	9021	1773	2827	26413	
16060	10600	9796	2022	2283	22822	
15531	10015	7435	1437	2480	22961	
15598	10281	7397	1434	2397	22603	
15004	10327	7483	1426	2772	26215	
16627	10898	7707	1538	2446	22198	
15540	9949	7514	1420	2167	21852	
14702	9719	6999	1440	2836	25957	
17685	10947	7983	1454	2990	55369	
17827	11147	7808	1531	2700	24656	
16342	11049	7317	1516	3282	25420	
23771	14758	8031	1495	2920	25698	
16611	17974	8363	1526	2846	24520	
16254	10451	7897	1464	3100	25450	
17100	11224	7906	1489	2845	22988	
16871	31270	9037	1500	3107	25361	
17232	10623	8095	1477	2734	23316	
15788	10073	7732	1421	2760	25180	
17245	10529	8099	1466	2455	22072	
15138	10360	7545	1328	2460	22345	
14982	9987	7435	1371	2631	1866007	
17258	10638	7799	1419	2186	1798363	
18124	11375	12244	1631	3015	1687790	
17981	11183	7393	1403	2475	2162297	
16836	10687	7600	1389	2301	22258	
15435	10051	6751	1434	2271	21803	
18617	10469	6634	1417	2282	21834	
14591	9622	6840	1353	2315	21190	
14069	9616	6698	1290	2370	21651	
13979	9569	6528	1360	2137	21250	
14174	9510	6505	1347	2934	25131	
16612	16351	7781	1570	2595	28741	
16415	10714	7487	1513	2216	21949	
14852	9982	6829	1429	2186	21651	
15749	10422	7348	1416	2170	21629	
14950	9791	7518	1435	2351	21100	
15255	9590	7153	1418	2298	21795	
14873	10025	6880	1389	2332	21736	
14662	9791	6618	1347	2636	21020	
14245	9708	6625	1372	3076	24951	
16691	10883	7946	1513	2762	33329	
22350	11625	8182	1501	2717	24908	
17122	10778	7216	1506	3057	24816	
16748	10581	7740	1479	3395	27130	
17330	10384	8891	1545	3514	26700	
17776	10791	8535	1440	3321	26745	
17353	10748	8430	1513	2777	23514	
16506	10253	7631	1506	3160	24520	
17201	15645	9763	1528	2753	28466	
15814	9808	7791	1400	2995	28390	
17005	10118	7233	1319	3206	25721	
17282	11089	8451	1512	2738	22458	
15689	10111	7757	1444	2542	23042	
22713	11027	7463	1434	2648	22933	
14932	9952	6768	1430	2648	22151	
14754	9703	6713	1404	2538	21567	
14948	20612	7244	1412	2523	21446	
14727	9629	7036	1369	2671	22335	
14763	9709	7441	1370	3247	25047	
16607	10873	7927	1439	3150	25832	
18550	11389	7878	1516	2687	26793	
15420	9842	7137	1468	2585	22087	
15575	9633	6640	1365	2803	22424	
14883	9845	6899	1373	2978	23336	
16104	10394	7225	1428	3025	25832	
17132	10692	7833	1458	2729	23656	
15929	10311	8008	1480	2807	23157	
15314	10390	7342	1422	2527	21913	
14821	9747	6728	1390	2708	23392	
14928	11760	7054	1358	2566	22420	
14449	9735	6585	1363	2905	22292	
19393	10965	7123	1343	2605	21739	
14673	9506	6523	1323	3310	26386	
17731	10932	7631	1540	3240	26648	
17134	10909	7961	1479	3179	24620	
22323	15227	10202	2010	3116	1356082	
17403	11112	7593	1479	2931	22920	
16073	10231	7550	1392	3290	26914	
16722	11056	7716	1465	2818	22593	
15989	9932	7345	1321	3324	26551	
17126	10818	8109	1484	2881	23508	
16831	10726	7694	1490	2618	22325	
14882	9842	7414	1424	3403	25660	
16461	10756	7532	1508	2955	52406	
16081	10090	7341	1394	3120	23943	
15762	10167	7371	1438	2743	23624	
15945	10063	6846	1453	2820	21525	
15112	9391	6753	1349	2550	27814	
15010	9431	6296	1339	2745	21769	
14830	9682	6871	1400	2864	24129	
16077	10666	7534	1465	3093	25839	
17258	10800	8079	1552	2942	31414	
16743	10753	7371	1476	2723	21952	
14713	9775	6657	1425	2449	25602	
16571	10734	6657	1337	2499	21346	
14315	9732	6457	1377	2458	19912	
13345	8993	6306	1315	2509	20455	
13575	9122	6065	1315	2660	21009	
14618	9663	6732	1310	2655	21642	
15120	9978	6433	1377	2204	21131	
13830	9296	6335	1391	2532	21489	
14558	9522	6357	1404	2504	21967	
14275	9683	6383	1370	2522	21973	
14966	9970	6413	1358	2536	20947	
14065	9371	10796	1385	2547	20620	
14130	9224	6671	1325	2671	21346	
14623	9440	6500	1371	2363	22003	
14494	9723	6529	1375	2720	21216	
14469	9570	6709	1437	2603	22508	
15126	9692	6990	1418	2564	25457	
14893	9478	6963	1429	2497	21109	
21221	10127	6889	1393	2617	21568	
