Bench : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v4/mtpt : len : 1000 loops : 1000
1 pathToDir : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v4/mtpt
2 pathToDir : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v4/mtpt
BeforeCat Dir : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v4/mtpt 
File : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v4/mtpt
AfterCat Dir : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v4/mtpt/zzzTempDir 
File : /home/adithya_bhatp/gitRepository/NFS_FUSE_Implementation/client_side/v4/mtpt/zzzTempFile
MKDIR	RMDIR	CREATE	STAT	CLOSE	UNLINK
1282397	1315231	693219	4425	9611	578586	
1046267	236066	673577	5851	11112	469833	
985388	336059	720860	5144	8523	439839	
1183256	257671	613854	5176	7843	472126	
1205264	212424	595492	10118	8182	406437	
1154733	1333130	759457	4724	8423	504862	
2255229	482807	1091620	5628	93363	854263	
1181590	289501	625743	4526	10620	441164	
1266169	290973	660075	5583	9081	460871	
1286927	361891	742332	5052	33880	418471	
1130926	5200911	779218	6313	11423	574467	
1093090	247044	668438	4881	10211	488705	
1263440	365008	696833	4751	9060	444639	
1144959	261615	684634	6524	10229	465479	
1181597	281958	594215	4887	10329	435474	
1249146	1383747	635159	3994	10548	448525	
1143071	367190	699580	5192	9155	534801	
1260785	331821	815319	10094	12110	428214	
1035204	271108	775958	6209	10196	565152	
1073140	313291	725913	5375	9525	586138	
1529266	899408	749096	4740	9604	644694	
1128045	274931	635252	4658	10714	467394	
3799862	324108	713431	5460	8941	479129	
1065586	264157	632785	4507	8122	491874	
1106751	314014	818775	4992	13292	556866	
1096910	1076822	817483	5940	11529	466078	
1094085	310008	710093	4499	9626	475242	
1127089	278271	693209	6170	10187	453211	
1296700	324952	623760	4940	9123	412853	
1015229	286507	697955	4748	9216	423454	
1202542	1381404	788648	5244	9864	492762	
1399334	246302	720327	6359	10696	512147	
1164356	344624	692888	4979	13024	547593	
1159833	245427	767312	3995	39633	518595	
1219392	310504	734371	6488	12239	508829	
1171866	1343939	874817	5538	8260	454357	
1145170	326015	617893	5298	11037	409937	
1227687	282405	757850	4831	14044	552209	
1042971	292258	696082	10089	8938	564282	
1098558	239092	542613	4653	9337	416758	
1157722	1315206	746285	5173	11578	502481	
1147171	287015	777462	4830	29351	537407	
1128788	297163	620922	4688	8186	445968	
1302278	289130	647714	5036	11443	393193	
1170903	235293	648570	4409	8855	410854	
1286391	1443336	836804	5489	9127	465156	
1010661	257833	706510	4824	9592	420743	
1132438	290730	648099	5882	14299	461562	
1208929	345027	603944	4711	8445	430227	
1202473	306677	589772	5032	8161	313447	
1054313	1399008	843479	4832	9162	499547	
1173675	263904	812911	4918	9040	459619	
1153655	347719	841446	10199	9774	589908	
1256773	286489	709031	6046	11413	507202	
